# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).,,,,,,,,,,,,,,,,,,,,,,,,
# The Matrix table should include non-normalized signal count data and detection p-value,,,,,,,,,,,,,,,,,,,,,,,,
"# Values that should be disregarded may either be left blank or labeled as ""null"".",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ID_REF,HAN_22_A_1_WT,Detection Pval,HAN_22_B_2_WT,Detection Pval,HAN_23_A_1_TG,Detection Pval,HAN_23_A_2_TG,Detection Pval,HAN_28_A_1_WT,Detection Pval,HAN_28_B_1_WT,Detection Pval,HAN_30_A_1_TG,Detection Pval,HAN_30_B_2_TG,Detection Pval,HAN_32_A_1_WT,Detection Pval,HAN_32_B_1_WT,Detection Pval,HAN_33_A_1_TG,Detection Pval,HAN_33_B_2_TG,Detection Pval
ILMN_1212975,703.2,0,170.5,0,578.9,0,194,0,498.6,0,225,0,397.7,0,143.6,0,464.6,0,224.8,0,535.4,0,127.6,0
ILMN_1212980,118.9,0.20175,72.7,0.64912,101.6,0.21554,89.9,0.12406,101.1,0.40226,80.8,0.57393,106.2,0.24436,83.4,0.35965,117,0.06767,91.1,0.13409,102.4,0.27444,73.8,0.39223
ILMN_1212982,774.9,0,289,0,570.1,0,504.5,0,558.9,0,417.2,0,1006.7,0,362,0,642.7,0,414,0,689.4,0,323.7,0
ILMN_1212993,253.5,0,89.4,0.02757,269.9,0,118.4,0.00125,217.3,0,118.5,0.00125,299.5,0,112.9,0.00376,199.5,0,112.7,0.00251,267.3,0,92.1,0.01378
ILMN_1212997,132.6,0.05138,80.5,0.18296,268.4,0,150.2,0,122.4,0.0188,97.2,0.03383,254.8,0,119.9,0.00376,114.8,0.09649,105.9,0.00376,165,0.00125,94.7,0.00877
ILMN_1212998,109.8,0.5213,70.8,0.77569,98.6,0.32957,81.9,0.52632,96,0.65163,76.6,0.79825,101.8,0.37469,79.2,0.61404,104.3,0.36216,83.1,0.48747,107.3,0.16917,75,0.30952
ILMN_1213001,453.7,0,227.8,0,366.1,0,233.2,0,318.6,0,258.2,0,403.3,0,197,0,316.8,0,335.6,0,416.2,0,159,0
ILMN_1213002,113.1,0.37594,78.5,0.27318,108.1,0.06892,77.9,0.76817,105.5,0.23183,83.7,0.40602,99.7,0.45113,78.3,0.65915,100.4,0.5401,78.6,0.75439,106.9,0.17794,74.5,0.33709
ILMN_1213014,245.2,0,143.3,0,470.3,0,473.8,0,303.6,0,288,0,777.3,0,350.9,0,226.3,0,208.4,0,560,0,330.1,0
ILMN_1213024,107.8,0.60276,80.5,0.18045,97.8,0.37218,75.5,0.86717,105.6,0.22682,80.8,0.56767,107.3,0.21554,79.8,0.58647,98.8,0.63659,87.5,0.25188,96.3,0.53133,79.7,0.12155
ILMN_1213026,951.5,0,460,0,417.5,0,331.7,0,612.2,0,593.8,0,558.2,0,310.7,0,613.2,0,703.9,0,373.1,0,239.5,0
ILMN_1213030,193.4,0,109.1,0,312.6,0,238.1,0,157,0,135.7,0,470.4,0,202.1,0,167.8,0,180.6,0,256,0,148.6,0
ILMN_1213053,376.2,0,155.7,0,163.5,0,144.7,0,294.2,0,208.3,0,268.4,0,118.4,0.00376,347.5,0,156.5,0,192.3,0,125.3,0
ILMN_1213055,860.4,0,386.3,0,1013.9,0,782.3,0,711,0,654.5,0,1249.5,0,654.2,0,727.2,0,662.3,0,1026.4,0,578.4,0
ILMN_1213056,415.7,0,230.3,0,142,0,92.2,0.07268,311.1,0,281.8,0,160.3,0.00125,96.8,0.03008,245.6,0,254,0,146.1,0.00752,116.1,0.00125
ILMN_1213068,164,0,100.3,0.00251,127.5,0.00376,83,0.4599,139.3,0.00125,103.6,0.01003,113.3,0.11779,79.4,0.60401,126.3,0.0213,106,0.00376,136,0.02005,84.9,0.04511
ILMN_1213070,2767.4,0,948.2,0,2638.7,0,2287.7,0,1921,0,1340.3,0,4321.5,0,1488.4,0,2234.9,0,2432.9,0,4686.4,0,1566.3,0
ILMN_1213093,102.6,0.79574,73.6,0.59399,97,0.41353,87.6,0.21053,103.8,0.28195,77,0.7807,102.6,0.34085,86.5,0.20301,122.2,0.03133,89.2,0.18296,115.4,0.08897,87.1,0.03509
ILMN_1213096,112.2,0.40852,72.4,0.67168,99.3,0.28822,79.8,0.64286,102.3,0.33709,79.4,0.64787,101.4,0.38722,82.6,0.40727,110.2,0.18045,79.2,0.71554,92.1,0.72932,75.4,0.29449
ILMN_1213101,147.1,0.00877,83.4,0.07769,182.8,0,105.9,0.00376,122,0.0213,103.4,0.01003,166.4,0.00125,95.6,0.03885,118.8,0.05138,93.8,0.07393,153.8,0.00251,84.4,0.04511
ILMN_1213110,124.7,0.11153,82.6,0.1015,106.1,0.09148,88,0.18797,115.4,0.06015,96,0.04386,119.3,0.07393,83.5,0.35464,111.2,0.16165,92.5,0.10025,125.2,0.04386,75.5,0.29198
ILMN_1213117,473.5,0,259.5,0,692.1,0,373.3,0,406.7,0,300.4,0,676,0,346.5,0,422.6,0,342.5,0,498.6,0,222.9,0
ILMN_1213123,98.2,0.88596,66.3,0.93358,83,0.96617,78.8,0.70677,87.8,0.92356,82,0.50376,88.6,0.8985,68.3,0.96491,96.2,0.73434,73.2,0.93233,85.1,0.94361,67.9,0.79198
ILMN_1213124,103.6,0.76065,75,0.4812,110.1,0.04511,84.1,0.401,97.5,0.57519,90,0.12782,98.2,0.51253,91.7,0.07644,106.6,0.28446,92.9,0.09023,102.5,0.26942,78.4,0.17293
ILMN_1213136,122.7,0.13283,74.6,0.50376,88.7,0.83333,79.1,0.68922,98.3,0.52506,75.6,0.83835,106.8,0.23058,76.5,0.74185,109,0.20301,93.6,0.07769,111,0.12155,68.9,0.73684
ILMN_1213139,200.9,0,104.6,0.00251,128.6,0.00376,110.1,0.00125,165.5,0,117.4,0.00251,137.8,0.01003,92.9,0.0589,150.3,0,107.6,0.00251,121.1,0.05138,93.2,0.01253
ILMN_1213144,1505.1,0,574.8,0,1301.8,0,1001.2,0,1082.5,0,958.3,0,1886.8,0,684.8,0,1040.5,0,997.1,0,1381.1,0,585.8,0
ILMN_1213148,244.1,0,137.3,0,171,0,114.4,0.00125,184.1,0,122.9,0,201,0,124.6,0.00251,165.5,0,131.3,0.00125,196.3,0,98.4,0.00627
ILMN_1213167,560.7,0,231.4,0,1231.4,0,668,0,1023.1,0,676,0,1918,0,503.8,0,810.4,0,419.2,0,1295.3,0,493.3,0
ILMN_1213200,1061.1,0,440.2,0,1018.4,0,673.8,0,686.1,0,556.1,0,1190.8,0,402.1,0,609.6,0,727.3,0,753.3,0,388.7,0
ILMN_1213216,123.9,0.12155,77.2,0.33584,113.7,0.01754,84.3,0.38221,98.4,0.51754,89.6,0.13283,112.5,0.12531,82.9,0.39098,109.6,0.18672,82.7,0.50752,109.9,0.13033,83.6,0.05639
ILMN_1213222,112.4,0.39975,70.8,0.77318,101.4,0.22807,80.5,0.60526,106.6,0.2005,78.6,0.69925,115.6,0.09273,82.8,0.39223,103.4,0.38972,80.8,0.62155,117.3,0.07895,72.4,0.49373
ILMN_1213231,640.5,0,267.1,0,1135.6,0,289.1,0,491.2,0,285.2,0,625.9,0,227.9,0,439.4,0,315,0,508,0,172.4,0
ILMN_1213257,126.2,0.08772,69.1,0.84837,123.2,0.00627,91.1,0.09148,115.4,0.06015,75.6,0.83835,146.6,0.00376,84.1,0.32206,90.6,0.8985,80.5,0.64286,116.5,0.08396,77.6,0.2005
ILMN_1213265,100.8,0.84211,77.8,0.30451,90.3,0.77569,84.6,0.36466,102.5,0.33333,75.8,0.83208,95.9,0.61905,82.9,0.38847,105.1,0.33584,81.6,0.57268,89.9,0.81078,79.9,0.11779
ILMN_1213268,107.5,0.61028,80.2,0.19173,95.1,0.53634,81.6,0.54637,105.8,0.21805,85.7,0.29825,99.6,0.45363,76.6,0.73935,99.6,0.58897,84,0.42356,97.9,0.46115,71.6,0.54762
ILMN_1213273,2057.9,0,714.6,0,1432.8,0,1486.7,0,1275.9,0,916.9,0,2839.6,0,1163.9,0,1644.3,0,1072.7,0,2057.4,0,901.2,0
ILMN_1213275,120,0.17544,73.1,0.62406,100.9,0.24311,91.7,0.08271,88.2,0.91479,75.5,0.84461,115.1,0.09524,92,0.07143,96.8,0.70927,80.4,0.64536,108.8,0.14411,68.8,0.74185
ILMN_1213286,1744.5,0,889.3,0,889.4,0,521.4,0,1805.8,0,2006.4,0,1193.8,0,584.1,0,1439.2,0,2176.9,0,1521.6,0,1133.2,0
ILMN_1213287,149.4,0.00752,92.3,0.01378,193.4,0,117.1,0.00125,154.2,0,101.9,0.01504,170.7,0.00125,113.7,0.00376,154.7,0,120.8,0.00125,170.6,0.00125,100.2,0.00376
ILMN_1213289,147.5,0.00877,105,0.00251,178.4,0,132.3,0,157.2,0,120.2,0.00125,224,0,103.1,0.01378,139.5,0.00251,99.6,0.02381,161,0.00125,91.3,0.01504
ILMN_1213290,214.3,0,98.1,0.00501,230.7,0,117,0.00125,156.9,0,120.4,0.00125,232.6,0,118.6,0.00376,173.8,0,128.7,0.00125,186.7,0,103.3,0.00251
ILMN_1213296,398.6,0,208.1,0,338.5,0,263.8,0,348.4,0,283.8,0,425.8,0,197.2,0,305.4,0,319.2,0,471.1,0,169,0
ILMN_1213307,801.2,0,285.8,0,938.3,0,313.2,0,493.5,0,378.2,0,856.1,0,282.7,0,508.3,0,436.5,0,580,0,236.1,0
ILMN_1213309,136.5,0.03509,82.8,0.09398,137.9,0,79.6,0.65414,118.1,0.04135,84.4,0.37218,161.7,0.00125,84.8,0.2807,109.4,0.19549,102.8,0.01003,133.1,0.02506,80,0.11654
ILMN_1213311,123.7,0.12281,75.3,0.45489,107.6,0.07393,89.7,0.12657,99.4,0.47995,97.7,0.03008,107.9,0.19925,81,0.51378,113.1,0.12406,90.8,0.14035,98.4,0.4386,75.4,0.29825
ILMN_1213316,134.8,0.03759,79.1,0.23684,118.6,0.00877,99.3,0.01128,109.6,0.11404,97.4,0.03133,135.4,0.01378,85.7,0.2406,119.6,0.04135,87,0.28195,111.7,0.11654,78.2,0.17794
